Year,#,Category,Nominee,Additional Info,Won?,Race,Multi-Racial?,Dynamic,Stereotype,Restricted Race Role,Helps main white pratagonist in their journey
2015,88th,Actor -- Leading Role,Bryan Cranston , Trumbo as Dalton Trumbo,,White,,,,,
2015,88th,Actor -- Leading Role,Matt Damon , The Martian as Mark Watney,,White,,,,,
2015,88th,Actor -- Leading Role,Leonardo DiCaprio , The Revenant as Hugh Glass,,White,,,,,
2015,88th,Actor -- Leading Role,Michael Fassbender , Steve Jobs as Steve Jobs,,White,,,,,
2015,88th,Actor -- Leading Role,Eddie Redmayne , The Danish Girl as Lili Elbe / Einar Wegener,,White,,,,,
2015,88th,Actor -- Supporting Role,Christian Bale , The Big Short as Michael Burry,,White,,,,,
2015,88th,Actor -- Supporting Role,Tom Hardy , The Revenant as John Fitzgerald,,White,,,,,
2015,88th,Actor -- Supporting Role,Mark Ruffalo , Spotlight as Michael Rezendes,,White,,,,,
2015,88th,Actor -- Supporting Role,Mark Rylance , Bridge of Spies as Rudolf Abel,,White,,,,,
2015,88th,Actor -- Supporting Role,Sylvester Stallone , Creed as Rocky Balboa,,White,,,,,
2015,88th,Actress -- Leading Role,Cate Blanchett , Carol as Carol Aird,,White,,,,,
2015,88th,Actress -- Leading Role,Brie Larson ," Room as Joy ""Ma"" Newsome",,White,,,,,
2015,88th,Actress -- Leading Role,Jennifer Lawrence , Joy as Joy Mangano,,White,,,,,
2015,88th,Actress -- Leading Role,Charlotte Rampling , 45 Years as Kate Mercer,,White,,,,,
2015,88th,Actress -- Leading Role,Saoirse Ronan , Brooklyn as Eilis Lacey,,White,,,,,
2015,88th,Actress -- Supporting Role,Jennifer Jason Leigh , The Hateful Eight as Daisy Domergue,,White,,,,,
2015,88th,Actress -- Supporting Role,Rooney Mara , Carol as Therese Belivet,,White,,,,,
2015,88th,Actress -- Supporting Role,Rachel McAdams , Spotlight as Sacha Pfeiffer,,White,,,,,
2015,88th,Actress -- Supporting Role,Alicia Vikander , The Danish Girl as Gerda Wegener,,White,,,,,
2015,88th,Actress -- Supporting Role,Kate Winslet , Steve Jobs as Joanna Hoffman,,White,,,,,
2014,87th,Actor -- Leading Role,Steve Carell ,"Foxcatcher {""John du Pont""}",NO,White,,,,,
2014,87th,Actor -- Leading Role,Bradley Cooper ,"American Sniper {""Chris Kyle""}",NO,White,,,,,
2014,87th,Actor -- Leading Role,Benedict Cumberbatch,"The Imitation Game {""Alan Turing""}",NO,White,,,,,
2014,87th,Actor -- Leading Role,Michael Keaton ,"Birdman or (The Unexpected Virtue of Ignorance) {""Riggan""}",NO,White,,,,,
2014,87th,Actor -- Leading Role,Eddie Redmayne ,"The Theory of Everything {""Stephen Hawking""}",YES,White,,Yes,Famous person,,
2014,87th,Actor -- Supporting Role,Robert Duvall ,"The Judge {""Joseph Palmer""}",NO,White,,,,,
2014,87th,Actor -- Supporting Role,Ethan Hawke ,"Boyhood {""Dad""}",NO,White,,,,,
2014,87th,Actor -- Supporting Role,Edward Norton ,"Birdman or (The Unexpected Virtue of Ignorance) {""Mike""}",NO,White,,,,,
2014,87th,Actor -- Supporting Role,Mark Ruffalo ,"Foxcatcher {""David Schultz""}",NO,White,,,,,
2014,87th,Actor -- Supporting Role,J.K. Simmons,"Whiplash {""Fletcher""}",YES,White,,No,Thug,,
2014,87th,Actress -- Leading Role,Marion Cotillard ,"Two Days, One Night {""Sandra""}",NO,White,,,,,
2014,87th,Actress -- Leading Role,Felicity Jones ,"The Theory of Everything {""Jane Hawking""}",NO,White,,,,,
2014,87th,Actress -- Leading Role,Julianne Moore ,"Still Alice {""Alice Howland""}",YES,White,,No,,,
2014,87th,Actress -- Leading Role,Rosamund Pike,"Gone Girl {""Amy Dunne""}",NO,White,,,,,
2014,87th,Actress -- Leading Role,Reese Witherspoon," Wild {""Cheryl""}",NO,White,,,,,
